source,bill_id,top_level_value,candidate_texts_json,candidate_evidence_json
popular,hr3807-102,Airlift (Aid for former Soviet Republics) bill,"[""Airlift (Aid for former Soviet Republics) bill"",""Conventional Forces in Europe Treaty Implementation bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Airlift (Aid for former Soviet Republics) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Conventional Forces in Europe Treaty Implementation bill"",""type"":""popular""}]"
popular,hr3886-102,Long-Distance Learning (Technology for the Classroom) bill,"[""Long-Distance Learning (Technology for the Classroom) bill"",""Technology for the Classroom (Long-Distance Learning) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Long-Distance Learning (Technology for the Classroom) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Technology for the Classroom (Long-Distance Learning) bill"",""type"":""popular""}]"
popular,hr3975-102,Employment Discrimination Damages (Equal Remedies Act) bill,"[""Employment Discrimination Damages (Equal Remedies Act) bill"",""Equal Remedies Act (Employment Discrimination Damages) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Employment Discrimination Damages (Equal Remedies Act) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Equal Remedies Act (Employment Discrimination Damages) bill"",""type"":""popular""}]"
popular,hr4547-102,Aid to Russia (Freedom Support Act) bill,"[""Aid to Russia (Freedom Support Act) bill"",""Freedom Support Act (Aid to Russia) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Aid to Russia (Freedom Support Act) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Freedom Support Act (Aid to Russia) bill"",""type"":""popular""}]"
popular,hr4848-102,Estate Taxes bill,"[""Estate Taxes bill"",""Health Care bill"",""Inheritance Tax bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Estate Taxes bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Health Care bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Inheritance Tax bill"",""type"":""popular""}]"
popular,hres101-102,Fast Track (Mexico-Free Trade) bill,"[""Fast Track (Mexico-Free Trade) bill"",""Mexico-Free Trade (Fast Track) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Fast Track (Mexico-Free Trade) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Mexico-Free Trade (Fast Track) bill"",""type"":""popular""}]"
popular,s2-102,Long-Distance Learning (Technology for the Classroom) bill,"[""Long-Distance Learning (Technology for the Classroom) bill"",""Technology for the Classroom (Long-Distance Learning) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Long-Distance Learning (Technology for the Classroom) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Technology for the Classroom (Long-Distance Learning) bill"",""type"":""popular""}]"
popular,s11-102,Pay-As-You-Go (Social Security) bill,"[""Pay-As-You-Go (Social Security) bill"",""Social Security (Pay-As-You-Go) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Pay-As-You-Go (Social Security) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Social Security (Pay-As-You-Go) bill"",""type"":""popular""}]"
popular,s55-102,Strike Participation (Striker Replacement/Workplace Fairness) bill,"[""Strike Participation (Striker Replacement/Workplace Fairness) bill"",""Striker Replacement (Strike Participation) bill"",""Workplace Fairness (Strike Participation) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Strike Participation (Striker Replacement/Workplace Fairness) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Striker Replacement (Strike Participation) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Workplace Fairness (Strike Participation) bill"",""type"":""popular""}]"
popular,s250-102,Motor Voter (Voter Registration) bill,"[""Motor Voter (Voter Registration) bill"",""Voter Registration (Motor Voter) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Motor Voter (Voter Registration) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Voter Registration (Motor Voter) bill"",""type"":""popular""}]"
popular,s257-102,Brady (Waiting Period/Gun Control) bill,"[""Brady (Waiting Period/Gun Control) bill"",""Gun Control (Waiting Period/Brady Bill) bill"",""Waiting Period (Gun Control/Brady Bill) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Brady (Waiting Period/Gun Control) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gun Control (Waiting Period/Brady Bill) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Waiting Period (Gun Control/Brady Bill) bill"",""type"":""popular""}]"
popular,s279-102,CAFE (Motor Vehicle Fuel Efficiency) bill,"[""CAFE (Motor Vehicle Fuel Efficiency) bill"",""Motor Vehicle Fuel Efficiency (CAFE) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""CAFE (Motor Vehicle Fuel Efficiency) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Motor Vehicle Fuel Efficiency (CAFE) bill"",""type"":""popular""}]"
